arxiv_id,20<>21,21<>22,22<>23,20<>23
2306.00345,False,True,False,False
2306.00184,False,True,True,False
2306.07731,False,True,True,False
2306.00389,False,True,True,False
2306.08110,False,True,True,False
2306.02281,True,True,True,True
2306.00146,False,True,True,False
2306.00710,False,False,False,False
2306.01863,False,True,True,False
2306.00179,False,False,True,False
2306.00717,False,True,True,False
2306.00141,False,True,False,False
2306.00373,False,True,True,False
2306.00387,True,True,True,True
2306.01403,False,True,False,False
2306.00916,True,True,True,True
2306.15291,True,True,True,True
2306.00743,True,True,True,True
2306.01691,False,True,False,False
2306.00327,True,True,True,True
2306.09408,False,False,True,False
2306.03763,False,False,True,False
2306.00329,True,True,False,False
2306.00927,False,False,True,False
2306.00123,False,False,True,True
2306.01402,True,True,True,True
2306.00372,False,True,False,False
2306.01092,False,True,True,False
2306.00147,False,False,True,True
2306.03399,False,False,True,False
2306.00178,False,True,True,False
2306.00727,True,True,True,True
2306.00343,True,True,True,True
2306.00718,False,True,True,False
2306.00388,False,True,False,False
2306.00182,False,True,True,False
2306.00512,False,True,True,False
2306.00981,True,True,True,True
2306.00149,True,True,True,True
2306.00921,False,False,True,False
2306.02681,False,False,True,True
2306.01838,True,True,False,False
2306.00122,False,True,True,False
2306.00773,False,False,True,True
2306.00125,False,False,True,False
2306.04327,False,True,True,False
2306.11061,True,True,True,True
2306.00113,True,True,True,True
2306.01663,True,True,True,True
2306.01372,False,True,True,False
2306.00059,True,True,True,True
2306.01515,True,True,False,False
2306.07888,False,False,False,False
2306.00057,True,True,True,True
2306.02156,False,False,False,False
2306.02169,False,True,True,False
2306.01388,False,True,True,False
2306.00050,False,False,True,True
2306.00296,False,True,True,False
2306.00853,False,True,True,False
2306.00209,False,True,True,False
2306.07013,False,True,True,False
2306.00236,False,False,True,True
2306.00004,False,True,False,False
2306.00493,True,True,True,True
2306.00003,False,False,False,False
2306.00655,True,True,True,True
2306.01745,False,False,True,False
2306.00207,False,True,True,False
2306.00469,True,True,False,False
2306.00032,False,False,True,False
2306.00456,True,True,True,True
2306.10630,False,True,True,False
2306.00263,False,True,True,False
2306.00051,False,True,True,False
2306.00056,False,False,False,True
2306.00264,False,True,True,False
2306.00432,True,True,True,True
2306.00060,True,True,False,False
2306.00094,False,True,False,False
2306.06151,False,True,True,False
2306.03275,False,True,True,False
2306.02708,False,True,True,False
2306.00299,False,True,True,False
2306.01179,False,True,True,False
2306.00093,False,True,True,False
2306.00403,False,True,True,False
2306.03888,False,True,True,False
2306.00631,False,True,True,False
2306.13226,True,True,True,True
2306.09175,False,True,True,False
2306.00691,False,True,True,False
2306.02764,False,True,True,False
2306.00033,True,True,True,True
2306.09186,False,True,True,False
2306.04209,False,False,True,False
2306.00034,False,True,True,False
2306.09529,True,True,True,True
2306.00230,False,False,True,False
2306.00002,False,True,True,False
2306.00466,False,False,True,True
2306.16731,False,True,True,False
2306.01920,False,True,True,False
2306.00653,False,True,True,False
2306.00461,False,True,True,False
2306.00005,False,True,True,False
2306.00237,False,False,False,True
2306.03490,True,True,True,True
2306.00215,True,True,True,True
2306.00027,False,True,True,False
2306.02925,False,False,True,False
2306.00224,False,True,True,False
2306.00029,False,False,True,False
